event_id,transaction_id,event_type,event_ts,ingestion_ts,processing_ms
E2000061,T2000022,SETTLED,2026-10-01 14:37:10,2026-10-01 14:37:13,127
E2000247,T2000089,SETTLED,2026-10-01 20:12:47,2026-10-01 20:12:57,2326
E2000036,T2000013,CREATED,2026-10-01 18:37:24,2026-10-01 18:37:31,2479
E2000259,T2000094,AUTHORIZED,2026-10-01 09:14:23,2026-10-01 09:14:29,1629
E2000052,T2000019,CREATED,2026-10-01 10:04:28,2026-10-01 10:04:38,2159
E2000039,T2000014,CREATED,2026-10-01 18:34:18,2026-10-01 18:34:23,1781
E2000120,T2000044,CREATED,2026-10-01 12:06:05,2026-10-01 12:06:10,1979
E2000220,T2000080,CREATED,2026-10-01 12:39:21,2026-10-01 12:39:30,754
E2000134,T2000049,CREATED,2026-10-01 13:47:01,2026-10-01 13:47:08,823
E2000140,T2000051,CREATED,2026-10-01 17:45:46,2026-10-01 17:45:51,1314
E2000274,T2000100,CREATED,2026-10-01 10:37:31,2026-10-01 10:37:41,568
E2000209,T2000076,AUTHORIZED,2026-10-01 08:33:44,2026-10-01 08:33:46,511
E2000123,T2000045,AUTHORIZED,2026-10-01 09:24:55,2026-10-01 09:24:57,2243
E2000177,T2000064,AUTHORIZED,2026-10-01 13:23:45,2026-10-01 13:23:50,1737
E2000283,T2000103,AUTHORIZED,2026-10-01 18:06:08,2026-10-01 18:06:18,55
E2000091,T2000034,CREATED,2026-10-01 21:42:18,2026-10-01 21:42:21,207
E2000018,T2000006,SETTLED,2026-10-01 16:31:51,2026-10-01 16:31:56,1911
E2000160,T2000058,AUTHORIZED,2026-10-01 11:31:01,2026-10-01 11:31:07,1623
E2000172,T2000062,SETTLED,2026-10-01 21:40:53,2026-10-01 21:40:54,2115
E2000210,T2000076,SETTLED,2026-10-01 08:51:36,2026-10-01 08:51:44,2202
E2000037,T2000013,AUTHORIZED,2026-10-01 18:37:31,2026-10-01 18:37:36,480
E2000042,T2000015,AUTHORIZED,2026-10-01 08:23:39,2026-10-01 08:23:47,1908
E2000199,T2000072,SETTLED,2026-10-01 18:59:26,2026-10-01 18:59:31,2292
E2000105,T2000038,SETTLED,2026-10-01 21:09:12,2026-10-01 21:09:18,2484
E2000311,T2000113,SETTLED,2026-10-01 14:25:13,2026-10-01 14:25:14,1735
E2000250,T2000091,CREATED,2026-10-01 23:52:41,2026-10-01 23:52:43,111
E2000200,T2000073,CREATED,2026-10-01 11:46:17,2026-10-01 11:46:20,517
E2000318,T2000116,CREATED,2026-10-01 15:18:38,2026-10-01 15:18:44,2425
E2000269,T2000098,CREATED,2026-10-01 21:20:46,2026-10-01 21:20:53,2078
E2000090,T2000033,SETTLED,2026-10-01 19:17:07,2026-10-01 19:17:14,756
E2000099,T2000036,SETTLED,2026-10-01 19:07:22,2026-10-01 19:07:31,2211
E2000008,T2000003,AUTHORIZED,2026-10-01 19:11:00,2026-10-01 19:11:01,432
E2000150,T2000055,CREATED,2026-10-01 11:02:33,2026-10-01 11:02:38,1491
E2000086,T2000032,CREATED,2026-10-01 16:56:19,2026-10-01 16:56:29,1184
E2000069,T2000026,CREATED,2026-10-01 13:19:29,2026-10-01 13:19:33,1428
E2000161,T2000058,SETTLED,2026-10-01 11:49:52,2026-10-01 11:49:54,1949
E2000173,T2000063,CREATED,2026-10-01 11:47:43,2026-10-01 12:25:43,761
E2000112,T2000041,AUTHORIZED,2026-10-01 20:58:32,2026-10-01 20:58:36,1185
E2000030,T2000010,SETTLED,2026-10-01 14:52:07,2026-10-01 14:52:13,2443
E2000232,T2000084,AUTHORIZED,2026-10-01 11:13:43,2026-10-01 12:25:43,570
E2000248,T2000090,CREATED,2026-10-01 12:22:56,2026-10-01 12:22:59,2324
E2000050,T2000018,CREATED,2026-10-01 21:35:31,2026-10-01 21:35:34,1723
E2000319,T2000116,AUTHORIZED,2026-10-01 15:18:49,2026-10-01 15:18:59,472
E2000103,T2000038,CREATED,2026-10-01 20:47:12,2026-10-01 20:47:17,1062
E2000272,T2000099,AUTHORIZED,2026-10-01 19:07:53,2026-10-01 19:07:58,585
E2000214,T2000078,CREATED,2026-10-01 15:45:37,2026-10-01 15:45:44,1403
E2000266,T2000096,SETTLED,2026-10-01 17:35:28,2026-10-01 17:35:36,642
E2000222,T2000081,CREATED,2026-10-01 15:12:29,2026-10-01 15:12:35,1812
E2000147,T2000053,AUTHORIZED,2026-10-01 16:03:29,2026-10-01 16:03:31,1175
E2000119,T2000043,SETTLED,2026-10-01 13:16:31,2026-10-01 13:16:37,868
E2000278,T2000101,SETTLED,2026-10-01 08:07:42,2026-10-01 08:07:43,1301
E2000242,T2000088,CREATED,2026-10-01 13:55:14,2026-10-01 13:55:19,1487
E2000216,T2000078,SETTLED,2026-10-01 15:59:37,2026-10-01 15:59:44,1663
E2000192,T2000070,CREATED,2026-10-01 14:26:00,2026-10-01 14:26:04,366
E2000189,T2000069,CREATED,2026-10-01 15:29:00,2026-10-01 15:29:07,880
E2000182,T2000066,CREATED,2026-10-01 14:51:50,2026-10-01 15:19:50,1189
E2000156,T2000057,CREATED,2026-10-01 18:32:58,2026-10-01 18:33:03,784
E2000240,T2000087,CREATED,2026-10-01 19:35:30,2026-10-01 19:35:33,1683
E2000299,T2000109,FAILED,2026-10-01 19:15:25,2026-10-01 19:15:34,674
E2000180,T2000065,AUTHORIZED,2026-10-01 21:51:24,2026-10-01 21:51:25,324
E2000201,T2000073,AUTHORIZED,2026-10-01 11:46:44,2026-10-01 11:46:52,1278
E2000111,T2000041,CREATED,2026-10-01 20:58:25,2026-10-01 20:58:35,1354
E2000034,T2000012,CREATED,2026-10-01 08:37:49,2026-10-01 08:37:54,289
E2000225,T2000082,CREATED,2026-10-01 18:51:08,2026-10-01 18:51:16,1144
E2000004,T2000002,CREATED,2026-10-01 14:44:33,2026-10-01 14:44:42,2410
E2000118,T2000043,AUTHORIZED,2026-10-01 12:57:59,2026-10-01 12:58:05,1211
E2000256,T2000093,AUTHORIZED,2026-10-01 12:21:09,2026-10-01 12:21:13,950
E2000238,T2000086,AUTHORIZED,2026-10-01 15:30:41,2026-10-01 15:30:42,1471
E2000029,T2000010,AUTHORIZED,2026-10-01 14:23:14,2026-10-01 14:23:22,1917
E2000013,T2000005,CREATED,2026-10-01 20:41:08,2026-10-01 20:41:15,228
E2000270,T2000098,AUTHORIZED,2026-10-01 21:20:48,2026-10-01 21:20:52,986
E2000132,T2000048,AUTHORIZED,2026-10-01 10:19:37,2026-10-01 10:19:41,934
E2000184,T2000066,SETTLED,2026-10-01 15:03:50,2026-10-01 16:12:50,1180
E2000020,T2000007,AUTHORIZED,2026-10-01 18:55:10,2026-10-01 18:55:19,1309
E2000263,T2000095,SETTLED,2026-10-01 18:23:37,2026-10-01 18:23:38,2223
E2000142,T2000051,SETTLED,2026-10-01 18:04:46,2026-10-01 18:04:51,1366
E2000136,T2000049,SETTLED,2026-10-01 15:34:01,2026-10-01 15:34:02,1899
E2000213,T2000077,SETTLED,2026-10-01 13:37:11,2026-10-01 13:37:14,535
E2000254,T2000092,AUTHORIZED,2026-10-01 17:01:42,2026-10-01 17:01:47,1585
E2000143,T2000052,CREATED,2026-10-01 18:30:13,2026-10-01 18:30:17,2025
E2000174,T2000063,AUTHORIZED,2026-10-01 11:47:49,2026-10-01 12:26:49,1093
E2000155,T2000056,SETTLED,2026-10-01 10:35:48,2026-10-01 10:35:55,2180
E2000146,T2000053,CREATED,2026-10-01 16:03:27,2026-10-01 16:03:34,2298
E2000206,T2000075,CREATED,2026-10-01 23:28:45,2026-10-02 00:46:45,194
E2000022,T2000008,CREATED,2026-10-01 12:36:16,2026-10-01 12:36:22,1668
E2000009,T2000003,SETTLED,2026-10-01 19:30:34,2026-10-01 19:30:35,2057
E2000224,T2000081,SETTLED,2026-10-01 15:24:29,2026-10-01 15:24:31,441
E2000026,T2000009,AUTHORIZED,2026-10-01 08:09:09,2026-10-01 08:09:16,1940
E2000244,T2000088,SETTLED,2026-10-01 14:18:14,2026-10-01 14:18:17,2406
E2000084,T2000031,AUTHORIZED,2026-10-01 09:45:06,2026-10-01 09:45:15,1624
E2000257,T2000093,SETTLED,2026-10-01 12:38:55,2026-10-01 12:39:00,232
E2000297,T2000108,SETTLED,2026-10-02 01:21:03,2026-10-02 01:21:04,1834
E2000245,T2000089,CREATED,2026-10-01 20:00:47,2026-10-01 20:00:55,426
E2000243,T2000088,AUTHORIZED,2026-10-01 13:55:35,2026-10-01 13:55:37,1267
E2000121,T2000044,AUTHORIZED,2026-10-01 12:06:12,2026-10-01 12:06:17,144
E2000059,T2000022,CREATED,2026-10-01 12:17:10,2026-10-01 12:17:13,1309
E2000087,T2000032,FAILED,2026-10-01 16:56:25,2026-10-01 16:56:30,1131
E2000204,T2000074,AUTHORIZED,2026-10-01 18:47:32,2026-10-01 18:47:39,1058
E2000188,T2000068,AUTHORIZED,2026-10-01 09:23:02,2026-10-01 09:23:07,1456
E2000168,T2000061,AUTHORIZED,2026-10-01 11:40:49,2026-10-01 11:40:55,2498
E2000290,T2000106,CREATED,2026-10-01 15:20:51,2026-10-01 15:20:54,882
E2000158,T2000057,SETTLED,2026-10-01 18:50:58,2026-10-01 18:51:03,1501
E2000074,T2000027,SETTLED,2026-10-01 23:04:01,2026-10-01 23:04:05,1882
E2000051,T2000018,FAILED,2026-10-01 21:35:43,2026-10-01 21:35:52,2410
E2000024,T2000008,SETTLED,2026-10-01 13:01:16,2026-10-01 13:01:21,913
E2000267,T2000097,CREATED,2026-10-01 20:54:17,2026-10-01 20:54:18,1049
E2000223,T2000081,AUTHORIZED,2026-10-01 15:12:37,2026-10-01 15:12:38,1999
E2000163,T2000059,AUTHORIZED,2026-10-01 18:45:46,2026-10-01 18:45:51,1459
E2000089,T2000033,AUTHORIZED,2026-10-01 19:06:30,2026-10-01 19:06:40,1463
E2000109,T2000040,AUTHORIZED,2026-10-01 13:07:10,2026-10-01 13:07:16,744
E2000012,T2000004,SETTLED,2026-10-01 09:30:08,2026-10-01 09:30:12,1651
E2000157,T2000057,AUTHORIZED,2026-10-01 18:33:15,2026-10-01 18:33:20,930
E2000002,T2000001,AUTHORIZED,2026-10-01 11:08:55,2026-10-01 11:08:59,963
E2000219,T2000079,SETTLED,2026-10-01 11:06:54,2026-10-01 11:06:59,1539
E2000098,T2000036,AUTHORIZED,2026-10-01 18:59:47,2026-10-01 18:59:55,2064
E2000181,T2000065,SETTLED,2026-10-01 22:08:08,2026-10-01 22:08:13,491
E2000285,T2000104,CREATED,2026-10-01 17:43:34,2026-10-01 17:43:41,2401
E2000070,T2000026,AUTHORIZED,2026-10-01 13:19:44,2026-10-01 13:19:49,529
E2000293,T2000107,AUTHORIZED,2026-10-01 20:16:12,2026-10-01 20:16:17,1191
E2000060,T2000022,AUTHORIZED,2026-10-01 12:17:39,2026-10-01 12:17:47,262
E2000312,T2000114,CREATED,2026-10-01 19:25:57,2026-10-01 19:26:04,425
E2000038,T2000013,SETTLED,2026-10-01 18:59:24,2026-10-01 18:59:30,1086
E2000239,T2000086,SETTLED,2026-10-01 15:41:11,2026-10-01 15:41:19,1926
E2000092,T2000034,AUTHORIZED,2026-10-01 21:42:45,2026-10-01 21:42:50,1663
E2000281,T2000102,SETTLED,2026-10-01 11:14:00,2026-10-01 11:14:08,1693
E2000315,T2000115,CREATED,2026-10-01 09:57:13,2026-10-01 09:57:19,414
E2000252,T2000091,SETTLED,2026-10-02 00:16:41,2026-10-02 00:16:44,599
E2000025,T2000009,CREATED,2026-10-01 08:08:50,2026-10-01 08:08:57,1036
E2000151,T2000055,AUTHORIZED,2026-10-01 11:02:57,2026-10-01 11:03:02,2182
E2000001,T2000001,CREATED,2026-10-01 11:08:53,2026-10-01 11:09:00,2129
E2000258,T2000094,CREATED,2026-10-01 09:14:00,2026-10-01 09:14:04,1057
E2000186,T2000067,AUTHORIZED,2026-10-01 19:09:47,2026-10-01 19:09:51,348
E2000066,T2000024,AUTHORIZED,2026-10-01 18:01:32,2026-10-01 18:01:38,1924
E2000229,T2000083,AUTHORIZED,2026-10-01 13:09:37,2026-10-01 13:09:44,1176
E2000137,T2000050,CREATED,2026-10-01 20:53:45,2026-10-01 20:53:46,1868
E2000207,T2000075,FAILED,2026-10-01 23:28:54,2026-10-01 23:28:59,1755
E2000329,T2000119,SETTLED,2026-10-01 21:33:39,2026-10-01 21:33:43,1760
E2000032,T2000011,AUTHORIZED,2026-10-01 10:39:03,2026-10-01 10:39:07,300
E2000328,T2000119,AUTHORIZED,2026-10-01 20:55:55,2026-10-01 20:56:01,392
E2000305,T2000111,SETTLED,2026-10-01 18:02:21,2026-10-01 18:02:31,1711
E2000006,T2000002,SETTLED,2026-10-01 14:49:33,2026-10-01 14:49:35,1642
E2000294,T2000107,SETTLED,2026-10-01 20:19:57,2026-10-01 20:20:01,1592
E2000215,T2000078,AUTHORIZED,2026-10-01 15:45:38,2026-10-01 15:45:42,1805
E2000138,T2000050,AUTHORIZED,2026-10-01 20:54:13,2026-10-01 20:54:22,1656
E2000194,T2000071,CREATED,2026-10-01 13:01:01,2026-10-01 13:01:11,1401
E2000079,T2000029,AUTHORIZED,2026-10-01 17:53:12,2026-10-01 17:53:18,1961
E2000236,T2000085,SETTLED,2026-10-01 18:45:55,2026-10-01 18:46:04,1187
E2000235,T2000085,AUTHORIZED,2026-10-01 18:38:21,2026-10-01 18:38:23,2486
E2000041,T2000015,CREATED,2026-10-01 08:23:37,2026-10-01 08:23:39,49
E2000097,T2000036,CREATED,2026-10-01 18:59:22,2026-10-01 18:59:32,1735
E2000046,T2000016,SETTLED,2026-10-01 10:49:17,2026-10-01 10:49:27,1215
E2000049,T2000017,SETTLED,2026-10-01 13:03:34,2026-10-01 13:03:43,1397
E2000047,T2000017,CREATED,2026-10-01 12:55:34,2026-10-01 12:55:38,48
E2000068,T2000025,AUTHORIZED,2026-10-01 13:38:36,2026-10-01 13:38:45,2094
E2000196,T2000071,SETTLED,2026-10-01 13:07:01,2026-10-01 13:07:07,833
E2000170,T2000062,CREATED,2026-10-01 21:34:53,2026-10-01 21:35:02,855
E2000065,T2000024,CREATED,2026-10-01 18:01:14,2026-10-01 18:01:24,2330
E2000063,T2000023,AUTHORIZED,2026-10-01 17:17:27,2026-10-01 17:17:29,2134
E2000261,T2000095,CREATED,2026-10-01 18:03:37,2026-10-01 18:03:47,282
E2000080,T2000029,SETTLED,2026-10-01 18:31:54,2026-10-01 18:31:57,933
E2000005,T2000002,AUTHORIZED,2026-10-01 14:44:54,2026-10-01 14:45:02,1225
E2000019,T2000007,CREATED,2026-10-01 18:54:43,2026-10-01 18:54:45,1322
E2000275,T2000100,FAILED,2026-10-01 10:37:41,2026-10-01 10:37:43,741
E2000129,T2000047,AUTHORIZED,2026-10-01 08:27:27,2026-10-01 08:27:37,1169
E2000178,T2000064,SETTLED,2026-10-01 13:40:28,2026-10-01 13:40:36,2283
E2000035,T2000012,FAILED,2026-10-01 08:38:02,2026-10-01 08:38:10,432
E2000159,T2000058,CREATED,2026-10-01 11:30:52,2026-10-01 11:30:58,539
E2000289,T2000105,SETTLED,2026-10-01 10:05:59,2026-10-01 10:06:03,1382
E2000016,T2000006,CREATED,2026-10-01 16:06:51,2026-10-01 16:06:52,832
E2000295,T2000108,CREATED,2026-10-01 23:40:03,2026-10-01 23:40:10,454
E2000162,T2000059,CREATED,2026-10-01 18:45:33,2026-10-01 18:45:38,443
E2000154,T2000056,AUTHORIZED,2026-10-01 10:12:00,2026-10-01 10:12:01,1500
E2000304,T2000111,AUTHORIZED,2026-10-01 17:44:37,2026-10-01 17:44:41,947
E2000148,T2000054,CREATED,2026-10-01 13:23:13,2026-10-01 13:23:23,2469
E2000048,T2000017,AUTHORIZED,2026-10-01 12:55:59,2026-10-01 12:56:01,492
E2000191,T2000069,SETTLED,2026-10-01 15:43:00,2026-10-01 15:43:10,2399
E2000122,T2000045,CREATED,2026-10-01 09:24:36,2026-10-01 09:24:41,1667
E2000308,T2000112,SETTLED,2026-10-01 09:26:37,2026-10-01 09:26:42,1064
E2000144,T2000052,AUTHORIZED,2026-10-01 18:30:18,2026-10-01 18:30:25,2422
E2000027,T2000009,SETTLED,2026-10-01 08:21:50,2026-10-01 08:21:59,462
E2000253,T2000092,CREATED,2026-10-01 17:01:20,2026-10-01 17:01:30,1961
E2000268,T2000097,AUTHORIZED,2026-10-01 20:54:35,2026-10-01 20:54:39,1459
E2000125,T2000046,CREATED,2026-10-01 12:03:39,2026-10-01 12:03:44,461
E2000058,T2000021,SETTLED,2026-10-01 21:28:37,2026-10-01 21:28:41,2196
E2000076,T2000028,AUTHORIZED,2026-10-01 19:38:21,2026-10-01 19:38:27,710
E2000226,T2000082,AUTHORIZED,2026-10-01 18:51:19,2026-10-01 18:51:20,2131
E2000067,T2000025,CREATED,2026-10-01 13:38:07,2026-10-01 13:38:08,2486
E2000149,T2000054,FAILED,2026-10-01 13:23:15,2026-10-01 13:23:19,1470
E2000062,T2000023,CREATED,2026-10-01 17:17:24,2026-10-01 17:17:31,102
E2000321,T2000117,CREATED,2026-10-01 19:47:04,2026-10-01 19:47:11,2212
E2000233,T2000084,SETTLED,2026-10-01 11:38:28,2026-10-01 11:51:28,1805
E2000251,T2000091,AUTHORIZED,2026-10-01 23:52:51,2026-10-01 23:52:54,294
E2000078,T2000029,CREATED,2026-10-01 17:52:54,2026-10-01 17:52:59,574
E2000116,T2000042,SETTLED,2026-10-01 13:39:36,2026-10-01 13:39:41,1593
E2000054,T2000020,CREATED,2026-10-01 11:57:17,2026-10-01 11:57:20,656
E2000231,T2000084,CREATED,2026-10-01 11:13:28,2026-10-01 12:31:28,330
E2000095,T2000035,AUTHORIZED,2026-10-01 18:11:34,2026-10-01 18:11:42,798
E2000185,T2000067,CREATED,2026-10-01 19:09:36,2026-10-01 19:09:40,1885
E2000208,T2000076,CREATED,2026-10-01 08:33:36,2026-10-01 08:33:42,2008
E2000141,T2000051,AUTHORIZED,2026-10-01 17:45:57,2026-10-01 17:46:03,1413
E2000193,T2000070,FAILED,2026-10-01 14:26:07,2026-10-01 14:26:11,672
E2000130,T2000047,SETTLED,2026-10-01 08:50:08,2026-10-01 08:50:11,988
E2000291,T2000106,FAILED,2026-10-01 15:20:53,2026-10-01 15:20:56,1887
E2000117,T2000043,CREATED,2026-10-01 12:57:31,2026-10-01 12:57:40,1520
E2000203,T2000074,CREATED,2026-10-01 18:47:04,2026-10-01 18:47:09,1341
E2000033,T2000011,SETTLED,2026-10-01 10:54:48,2026-10-01 10:54:57,1170
E2000007,T2000003,CREATED,2026-10-01 19:10:34,2026-10-01 19:10:43,773
E2000108,T2000040,CREATED,2026-10-01 13:07:03,2026-10-01 13:07:04,925
E2000171,T2000062,AUTHORIZED,2026-10-01 21:35:05,2026-10-01 21:35:06,2322
E2000287,T2000105,CREATED,2026-10-01 09:55:59,2026-10-01 09:56:04,1519
E2000057,T2000021,AUTHORIZED,2026-10-01 21:08:54,2026-10-01 21:09:04,963
E2000237,T2000086,CREATED,2026-10-01 15:30:11,2026-10-01 15:30:15,2436
E2000040,T2000014,FAILED,2026-10-01 18:34:37,2026-10-01 18:34:38,300
E2000139,T2000050,SETTLED,2026-10-01 21:13:45,2026-10-01 21:13:55,784
E2000045,T2000016,AUTHORIZED,2026-10-01 10:34:33,2026-10-01 10:34:43,2491
E2000101,T2000037,AUTHORIZED,2026-10-01 14:43:55,2026-10-01 14:44:03,1278
E2000152,T2000055,SETTLED,2026-10-01 12:24:33,2026-10-01 12:24:34,613
E2000326,T2000118,SETTLED,2026-10-01 15:19:22,2026-10-01 15:19:27,167
E2000133,T2000048,SETTLED,2026-10-01 10:37:20,2026-10-01 10:37:28,2002
E2000128,T2000047,CREATED,2026-10-01 08:27:08,2026-10-01 08:27:09,1052
E2000085,T2000031,SETTLED,2026-10-01 10:08:44,2026-10-01 10:08:52,2173
E2000292,T2000107,CREATED,2026-10-01 20:15:57,2026-10-01 20:16:06,765
E2000327,T2000119,CREATED,2026-10-01 20:55:39,2026-10-01 20:55:48,966
E2000124,T2000045,SETTLED,2026-10-01 10:31:36,2026-10-01 10:31:42,51
E2000003,T2000001,SETTLED,2026-10-01 11:12:53,2026-10-01 11:12:56,2428
E2000324,T2000118,CREATED,2026-10-01 15:02:22,2026-10-01 15:02:29,625
E2000064,T2000023,SETTLED,2026-10-01 17:30:24,2026-10-01 17:30:32,1310
E2000303,T2000111,CREATED,2026-10-01 17:44:21,2026-10-01 17:44:26,1043
E2000310,T2000113,AUTHORIZED,2026-10-01 14:13:27,2026-10-01 14:13:31,1044
E2000153,T2000056,CREATED,2026-10-01 10:11:48,2026-10-01 10:11:53,1247
E2000127,T2000046,SETTLED,2026-10-01 12:11:39,2026-10-01 12:11:41,1752
E2000309,T2000113,CREATED,2026-10-01 14:13:13,2026-10-01 14:13:19,804
E2000131,T2000048,CREATED,2026-10-01 10:19:20,2026-10-01 10:19:25,424
E2000077,T2000028,SETTLED,2026-10-01 19:45:59,2026-10-01 19:46:02,1356
E2000212,T2000077,AUTHORIZED,2026-10-01 10:59:13,2026-10-01 10:59:21,343
E2000073,T2000027,AUTHORIZED,2026-10-01 22:43:26,2026-10-01 22:43:36,1139
E2000264,T2000096,CREATED,2026-10-01 17:31:28,2026-10-01 17:31:38,1236
E2000102,T2000037,SETTLED,2026-10-01 14:46:50,2026-10-01 14:47:00,2080
E2000280,T2000102,AUTHORIZED,2026-10-01 10:53:17,2026-10-01 10:53:23,134
E2000081,T2000030,CREATED,2026-10-01 07:58:07,2026-10-01 07:58:10,1069
E2000179,T2000065,CREATED,2026-10-01 21:51:08,2026-10-01 21:51:09,101
E2000255,T2000093,CREATED,2026-10-01 12:20:55,2026-10-01 12:21:04,1693
E2000071,T2000026,SETTLED,2026-10-01 16:10:29,2026-10-01 16:10:36,508
E2000021,T2000007,SETTLED,2026-10-01 19:11:43,2026-10-01 19:11:49,966
E2000115,T2000042,AUTHORIZED,2026-10-01 11:00:45,2026-10-01 11:00:46,367
E2000288,T2000105,AUTHORIZED,2026-10-01 09:56:06,2026-10-01 09:56:16,2283
E2000246,T2000089,AUTHORIZED,2026-10-01 20:01:09,2026-10-01 20:01:12,1906
E2000010,T2000004,CREATED,2026-10-01 07:14:08,2026-10-01 07:14:12,81
E2000307,T2000112,AUTHORIZED,2026-10-01 09:18:46,2026-10-01 09:18:53,219
E2000331,T2000120,AUTHORIZED,2026-10-01 13:54:33,2026-10-01 13:54:36,513
E2000017,T2000006,AUTHORIZED,2026-10-01 16:07:10,2026-10-01 16:07:17,1801
E2000190,T2000069,AUTHORIZED,2026-10-01 15:29:21,2026-10-01 15:29:29,2365
E2000262,T2000095,AUTHORIZED,2026-10-01 18:04:01,2026-10-01 18:04:04,2413
E2000277,T2000101,AUTHORIZED,2026-10-01 07:53:44,2026-10-01 07:53:54,2294
E2000011,T2000004,AUTHORIZED,2026-10-01 07:14:16,2026-10-01 07:14:17,985
E2000104,T2000038,AUTHORIZED,2026-10-01 20:47:19,2026-10-01 20:47:22,2106
E2000106,T2000039,CREATED,2026-10-01 13:34:27,2026-10-01 13:34:37,308
E2000169,T2000061,SETTLED,2026-10-01 12:03:31,2026-10-01 12:03:32,1185
E2000167,T2000061,CREATED,2026-10-01 11:40:31,2026-10-01 11:40:40,142
E2000241,T2000087,FAILED,2026-10-01 19:35:42,2026-10-01 19:35:43,2332
E2000323,T2000117,SETTLED,2026-10-01 19:56:04,2026-10-01 19:56:08,990
E2000197,T2000072,CREATED,2026-10-01 18:51:26,2026-10-01 18:51:28,586
E2000325,T2000118,AUTHORIZED,2026-10-01 15:02:48,2026-10-01 15:02:54,1664
E2000044,T2000016,CREATED,2026-10-01 10:34:17,2026-10-01 10:34:22,866
E2000110,T2000040,SETTLED,2026-10-01 13:15:03,2026-10-01 13:15:13,1781
E2000217,T2000079,CREATED,2026-10-01 10:52:54,2026-10-01 10:53:03,1422
E2000320,T2000116,SETTLED,2026-10-01 15:26:38,2026-10-01 15:26:44,2054
E2000176,T2000064,CREATED,2026-10-01 13:23:28,2026-10-01 13:23:36,1252
E2000265,T2000096,AUTHORIZED,2026-10-01 17:31:44,2026-10-01 17:31:50,2087
E2000145,T2000052,SETTLED,2026-10-01 18:43:13,2026-10-01 18:43:17,567
E2000301,T2000110,AUTHORIZED,2026-10-01 13:31:25,2026-10-01 13:31:31,1938
E2000284,T2000103,SETTLED,2026-10-01 18:21:50,2026-10-01 18:21:54,2306
E2000234,T2000085,CREATED,2026-10-01 18:37:55,2026-10-01 18:38:05,617
E2000135,T2000049,AUTHORIZED,2026-10-01 13:47:13,2026-10-01 13:47:21,448
E2000260,T2000094,SETTLED,2026-10-01 09:24:00,2026-10-01 09:24:02,2205
E2000043,T2000015,SETTLED,2026-10-01 08:30:37,2026-10-01 08:30:40,1724
E2000082,T2000030,FAILED,2026-10-01 07:58:16,2026-10-01 07:58:22,458
E2000183,T2000066,AUTHORIZED,2026-10-01 14:51:53,2026-10-01 16:01:53,105
