settlement_id,transaction_id,settlement_ts,settlement_amount,settlement_status,settlement_batch
S2000065,T2000077,2026-10-01 13:37:11,5031.34,SETTLED,SB20261001PM
S2000066,T2000078,2026-10-01 15:59:37,886.76,SETTLED,SB20261001PM
S2000067,T2000079,2026-10-01 11:06:54,581.68,SETTLED,SB20261001AM
S2000068,T2000081,2026-10-01 15:24:29,7130.70,SETTLED,SB20261001PM
S2000069,T2000082,2026-10-01 19:03:08,1934.80,SETTLED,SB20261001PM
S2000070,T2000083,2026-10-01 14:09:35,25127.34,SETTLED,SB20261001PM
S2000071,T2000084,2026-10-01 11:34:28,204.93,SETTLED,SB20261001AM
S2000072,T2000084,2026-10-01 11:38:28,51.23,SETTLED,SB20261001AM
S2000073,T2000085,2026-10-01 18:45:55,11614.26,SETTLED,SB20261001PM
S2000074,T2000086,2026-10-01 15:41:11,769.50,SETTLED,SB20261001PM
S2000075,T2000088,2026-10-01 14:18:14,2972.25,SETTLED,SB20261001PM
S2000076,T2000089,2026-10-01 20:12:47,3175.13,SETTLED,SB20261001PM
S2000077,T2000091,2026-10-02 00:16:41,13073.05,SETTLED,SB20261002AM
S2000078,T2000093,2026-10-01 12:38:55,1803.32,SETTLED,SB20261001PM
S2000079,T2000094,2026-10-01 09:24:00,9716.19,SETTLED,SB20261001AM
S2000080,T2000095,2026-10-01 18:23:37,14171.22,SETTLED,SB20261001PM
S2000081,T2000096,2026-10-01 17:35:28,1487.35,SETTLED,SB20261001PM
S2000082,T2000097,2026-10-01 22:41:17,10358.31,FAILED,SB20261001PM
S2000083,T2000098,2026-10-01 21:27:46,8341.11,FAILED,SB20261001PM
S2000084,T2000099,2026-10-01 19:22:27,2239.34,SETTLED,SB20261001PM
S2000085,T2000101,2026-10-01 08:07:42,1750.79,SETTLED,SB20261001AM
S2000086,T2000102,2026-10-01 11:14:00,38333.66,SETTLED,SB20261001AM
S2000087,T2000103,2026-10-01 18:21:50,1145.97,SETTLED,SB20261001PM
S2000088,T2000105,2026-10-01 10:05:59,1526.29,SETTLED,SB20261001AM
S2000089,T2000107,2026-10-01 20:19:57,4746.67,SETTLED,SB20261001PM
S2000090,T2000108,2026-10-02 01:21:03,8184.91,SETTLED,SB20261002AM
S2000091,T2000110,2026-10-01 13:33:56,894.14,SETTLED,SB20261001PM
S2000092,T2000111,2026-10-01 18:02:21,2551.83,SETTLED,SB20261001PM
S2000093,T2000112,2026-10-01 09:26:37,5458.44,SETTLED,SB20261001AM
S2000094,T2000113,2026-10-01 14:25:13,7182.05,SETTLED,SB20261001PM
S2000095,T2000114,2026-10-01 19:44:57,2248.74,SETTLED,SB20261001PM
S2000096,T2000115,2026-10-01 10:12:13,1485.53,SETTLED,SB20261001AM
S2000097,T2000116,2026-10-01 15:26:38,14251.04,SETTLED,SB20261001PM
S2000098,T2000117,2026-10-01 19:52:04,47389.02,SETTLED,SB20261001PM
S2000099,T2000117,2026-10-01 19:56:04,11847.26,SETTLED,SB20261001PM
S2000100,T2000118,2026-10-01 15:19:22,11974.95,SETTLED,SB20261001PM
S2000101,T2000119,2026-10-01 21:33:39,67013.00,SETTLED,SB20261001PM
S2000102,T2000120,2026-10-01 16:23:05,14495.02,SETTLED,SB20261001PM
S1000240,T1000251,2026-09-05 00:28:02,12638.65,SETTLED,SB20260905LATE
S1000271,T1000285,2026-09-05 00:15:47,623.48,SETTLED,SB20260905LATE
S1000353,T1000374,2026-09-05 14:40:51,905.63,SETTLED,SB20260905LATE
S1000359,T1000381,2026-09-05 11:50:22,1547.21,SETTLED,SB20260905LATE
S1000449,T1000472,2026-09-06 13:01:31,3329.49,SETTLED,SB20260906LATE
S1000704,T1000732,2026-09-07 20:43:04,1886.12,SETTLED,SB20260907LATE
S1000734,T1000764,2026-09-07 13:39:03,3509.55,SETTLED,SB20260907LATE
S1000759,T1000790,2026-09-08 18:34:16,1523.71,SETTLED,SB20260908LATE
S1000764,T1000795,2026-09-08 21:26:48,2795.90,SETTLED,SB20260908LATE
S1000824,T1000857,2026-09-08 15:18:03,291.94,SETTLED,SB20260908LATE
S1000854,T1000889,2026-09-09 15:48:52,3369.34,SETTLED,SB20260909LATE
S1000878,T1000914,2026-09-09 19:35:35,4555.71,SETTLED,SB20260909LATE
S1000891,T1000927,2026-09-09 16:43:43,18784.94,SETTLED,SB20260909LATE
S1000893,T1000929,2026-09-09 14:27:52,4924.77,SETTLED,SB20260909LATE
S1000921,T1000960,2026-09-09 21:13:12,7196.09,SETTLED,SB20260909LATE
S1000950,T1000989,2026-09-09 10:34:49,10668.32,SETTLED,SB20260909LATE
S1000990,T1001031,2026-09-10 19:04:30,65766.65,SETTLED,SB20260910LATE
S1000993,T1001034,2026-09-10 18:47:09,889.42,SETTLED,SB20260910LATE
S1001063,T1001106,2026-09-10 21:16:57,3354.18,SETTLED,SB20260910LATE
S1001083,T1001127,2026-09-11 17:16:26,9503.37,SETTLED,SB20260911LATE
S2000103,T2000001,2026-10-01 12:08:53,-250.00,SETTLED,SB20261001PM
