settlement_id,transaction_id,settlement_ts,settlement_amount,settlement_status,settlement_batch
S1000041,T1000043,2026-09-01 13:45:06,32784.93,SETTLED,SB20260901PM
S1000042,T1000045,2026-09-01 19:55:15,54581.40,SETTLED,SB20260901PM
S1000043,T1000046,2026-09-01 20:00:49,3890.32,SETTLED,SB20260901PM
S1000044,T1000047,2026-09-01 11:34:13,1318.02,SETTLED,SB20260901AM
S1000045,T1000048,2026-09-01 11:54:10,17829.02,SETTLED,SB20260901AM
S1000046,T1000049,2026-09-01 10:16:56,2983.37,SETTLED,SB20260901AM
S1000047,T1000050,2026-09-01 21:03:08,4722.86,SETTLED,SB20260901PM
S1000048,T1000051,2026-09-01 22:07:47,2770.42,SETTLED,SB20260901PM
S1000049,T1000053,2026-09-01 07:28:05,493.79,SETTLED,SB20260901AM
S1000050,T1000053,2026-09-01 07:32:05,123.45,SETTLED,SB20260901AM
S1000051,T1000054,2026-09-01 20:11:02,4634.26,SETTLED,SB20260901PM
S1000052,T1000056,2026-09-01 08:36:17,80741.90,SETTLED,SB20260901AM
S1000053,T1000057,2026-09-01 11:14:07,2428.41,SETTLED,SB20260901AM
S1000054,T1000058,2026-09-01 19:12:46,2175.93,SETTLED,SB20260901PM
S1000055,T1000059,2026-09-01 20:22:27,20684.12,SETTLED,SB20260901PM
S1000056,T1000060,2026-09-01 19:38:30,1337.82,SETTLED,SB20260901PM
S1000057,T1000061,2026-09-01 17:03:28,5971.30,SETTLED,SB20260901PM
S1000058,T1000062,2026-09-01 10:14:16,15439.88,SETTLED,SB20260901AM
S1000059,T1000062,2026-09-01 10:18:16,3859.97,SETTLED,SB20260901AM
S1000060,T1000063,2026-09-01 19:21:39,31277.36,SETTLED,SB20260901PM
S1000061,T1000064,2026-09-01 18:53:09,15695.29,SETTLED,SB20260901PM
S1000062,T1000065,2026-09-01 09:53:59,1874.43,SETTLED,SB20260901AM
S1000063,T1000066,2026-09-01 17:39:42,1148.66,SETTLED,SB20260901PM
S1000064,T1000066,2026-09-01 17:43:42,287.16,SETTLED,SB20260901PM
S1000065,T1000067,2026-09-01 12:54:48,242.49,SETTLED,SB20260901PM
S1000066,T1000068,2026-09-01 12:20:26,1718.21,SETTLED,SB20260901PM
S1000067,T1000069,2026-09-01 18:20:59,11263.63,SETTLED,SB20260901PM
S1000068,T1000070,2026-09-01 12:31:26,4605.11,SETTLED,SB20260901PM
S1000069,T1000071,2026-09-01 17:28:42,112.44,SETTLED,SB20260901PM
S1000070,T1000072,2026-09-01 19:15:21,2717.84,SETTLED,SB20260901PM
S1000071,T1000073,2026-09-01 20:19:33,2140.79,SETTLED,SB20260901PM
S1000072,T1000075,2026-09-01 09:51:32,10398.49,SETTLED,SB20260901AM
S1000073,T1000076,2026-09-01 21:27:57,3034.92,SETTLED,SB20260901PM
S1000074,T1000077,2026-09-01 11:55:58,7616.04,SETTLED,SB20260901AM
S1000075,T1000078,2026-09-01 18:44:41,10704.42,SETTLED,SB20260901PM
S1000076,T1000078,2026-09-01 18:48:41,2676.11,SETTLED,SB20260901PM
S1000077,T1000079,2026-09-01 18:35:56,67460.94,SETTLED,SB20260901PM
S1000078,T1000080,2026-09-01 08:03:29,58738.35,SETTLED,SB20260901AM
S1000079,T1000080,2026-09-01 08:07:29,14684.59,SETTLED,SB20260901AM
S1000080,T1000081,2026-09-01 14:08:53,3310.93,SETTLED,SB20260901PM
S1000081,T1000082,2026-09-01 21:08:54,46799.71,SETTLED,SB20260901PM
S1000082,T1000083,2026-09-01 19:47:03,5805.82,SETTLED,SB20260901PM
S1000083,T1000084,2026-09-01 15:05:02,2957.50,SETTLED,SB20260901PM
S1000084,T1000085,2026-09-01 11:27:33,1940.79,SETTLED,SB20260901AM
S1000085,T1000086,2026-09-01 09:03:23,22661.70,SETTLED,SB20260901AM
S1000086,T1000087,2026-09-01 20:35:12,2797.02,SETTLED,SB20260901PM
S1000087,T1000089,2026-09-01 16:31:18,5469.23,SETTLED,SB20260901PM
S1000088,T1000091,2026-09-01 12:30:12,12822.51,SETTLED,SB20260901PM
S1000089,T1000092,2026-09-01 12:33:05,16945.75,SETTLED,SB20260901PM
S1000090,T1000093,2026-09-01 07:05:27,2290.05,SETTLED,SB20260901AM
S1000091,T1000094,2026-09-01 13:43:17,2317.51,SETTLED,SB20260901PM
S1000092,T1000095,2026-09-01 14:27:30,470.66,SETTLED,SB20260901PM
S1000093,T1000095,2026-09-01 14:31:30,117.66,SETTLED,SB20260901PM
S1000094,T1000097,2026-09-01 15:39:28,1475.10,SETTLED,SB20260901PM
S1000095,T1000098,2026-09-01 17:49:39,59612.08,SETTLED,SB20260901PM
S1000096,T1000098,2026-09-01 17:53:39,14903.02,SETTLED,SB20260901PM
S1000097,T1000101,2026-09-01 08:38:36,9576.84,SETTLED,SB20260901AM
S1000098,T1000102,2026-09-01 20:06:20,2262.94,SETTLED,SB20260901PM
S1000099,T1000104,2026-09-01 20:00:32,31807.86,SETTLED,SB20260901PM
S1000100,T1000104,2026-09-01 20:04:32,7951.96,SETTLED,SB20260901PM
S1000101,T1000105,2026-09-01 15:53:17,585.46,SETTLED,SB20260901PM
S1000102,T1000105,2026-09-01 15:57:17,146.36,SETTLED,SB20260901PM
S1000103,T1000106,2026-09-01 20:05:31,1047.74,SETTLED,SB20260901PM
S1000104,T1000107,2026-09-01 11:08:16,1921.27,SETTLED,SB20260901AM
S1000105,T1000108,2026-09-01 20:51:52,1058.05,SETTLED,SB20260901PM
S1000106,T1000109,2026-09-01 10:55:00,9923.68,SETTLED,SB20260901AM
S1000107,T1000110,2026-09-01 11:17:22,2801.94,SETTLED,SB20260901AM
S1000108,T1000111,2026-09-01 15:54:03,3159.18,SETTLED,SB20260901PM
S1000109,T1000112,2026-09-01 19:33:49,5129.56,SETTLED,SB20260901PM
S1000110,T1000113,2026-09-01 11:46:54,889.54,SETTLED,SB20260901AM
S1000111,T1000117,2026-09-01 11:46:50,1643.33,SETTLED,SB20260901AM
S1000112,T1000118,2026-09-01 19:33:53,265.88,SETTLED,SB20260901PM
S1000113,T1000119,2026-09-01 12:18:38,556.19,SETTLED,SB20260901PM
S1000114,T1000120,2026-09-01 11:01:22,975.99,SETTLED,SB20260901AM
S1000115,T1000121,2026-09-02 00:24:23,4049.95,SETTLED,SB20260902AM
S1000116,T1000122,2026-09-01 13:25:01,2993.52,SETTLED,SB20260901PM
S1000117,T1000123,2026-09-01 19:19:44,12775.03,SETTLED,SB20260901PM
S1000118,T1000124,2026-09-01 11:34:41,617.04,SETTLED,SB20260901AM
S1000119,T1000125,2026-09-01 08:13:15,1448.41,SETTLED,SB20260901AM
S1000120,T1000126,2026-09-01 12:32:41,670.97,SETTLED,SB20260901PM
S1000121,T1000127,2026-09-01 08:35:22,552.38,SETTLED,SB20260901AM
S1000122,T1000128,2026-09-02 20:57:32,1920.79,SETTLED,SB20260902PM
S1000123,T1000129,2026-09-02 10:52:49,1094.68,SETTLED,SB20260902AM
S1000124,T1000130,2026-09-02 14:05:11,10706.89,SETTLED,SB20260902PM
S1000125,T1000131,2026-09-02 07:24:05,1151.46,SETTLED,SB20260902AM
S1000126,T1000132,2026-09-02 19:38:49,543.89,SETTLED,SB20260902PM
S1000127,T1000133,2026-09-02 07:37:17,10129.37,SETTLED,SB20260902AM
S1000128,T1000134,2026-09-02 14:14:57,1892.15,SETTLED,SB20260902PM
S1000129,T1000135,2026-09-02 12:20:12,7267.21,SETTLED,SB20260902PM
S1000130,T1000136,2026-09-02 20:12:38,2331.00,SETTLED,SB20260902PM
S1000131,T1000138,2026-09-02 14:30:08,16990.22,SETTLED,SB20260902PM
S1000132,T1000139,2026-09-02 12:34:21,5052.99,SETTLED,SB20260902PM
S1000133,T1000140,2026-09-02 08:26:57,55767.87,SETTLED,SB20260902AM
S1000134,T1000141,2026-09-02 17:53:30,2950.64,SETTLED,SB20260902PM
S1000135,T1000143,2026-09-02 13:17:50,4453.01,SETTLED,SB20260902PM
S1000136,T1000144,2026-09-02 18:04:28,1562.28,SETTLED,SB20260902PM
S1000137,T1000145,2026-09-02 18:53:18,1578.35,SETTLED,SB20260902PM
S1000138,T1000145,2026-09-02 18:57:18,394.59,SETTLED,SB20260902PM
S1000139,T1000146,2026-09-02 09:37:27,930.18,SETTLED,SB20260902AM
S1000140,T1000146,2026-09-02 09:41:27,232.55,SETTLED,SB20260902AM
S1000141,T1000148,2026-09-02 11:22:42,2719.31,SETTLED,SB20260902AM
S1000142,T1000149,2026-09-02 16:14:48,714.21,SETTLED,SB20260902PM
S1000143,T1000150,2026-09-02 08:00:30,2599.73,SETTLED,SB20260902AM
S1000144,T1000151,2026-09-02 20:48:41,1400.24,SETTLED,SB20260902PM
S1000145,T1000152,2026-09-02 11:30:25,47348.09,SETTLED,SB20260902AM
S1000146,T1000153,2026-09-02 13:59:33,45090.48,SETTLED,SB20260902PM
S1000147,T1000154,2026-09-02 22:49:31,15826.64,SETTLED,SB20260902PM
S1000148,T1000155,2026-09-02 13:15:14,651.75,SETTLED,SB20260902PM
S1000149,T1000156,2026-09-02 13:12:46,3815.91,SETTLED,SB20260902PM
S1000150,T1000157,2026-09-02 08:44:45,22881.91,SETTLED,SB20260902AM
S1000151,T1000158,2026-09-02 20:15:49,44337.79,SETTLED,SB20260902PM
S1000152,T1000159,2026-09-02 10:10:05,2402.93,SETTLED,SB20260902AM
S1000153,T1000160,2026-09-02 18:12:28,32615.05,SETTLED,SB20260902PM
S1000154,T1000161,2026-09-02 20:22:29,213.49,SETTLED,SB20260902PM
S1000155,T1000162,2026-09-02 12:17:26,1598.25,SETTLED,SB20260902PM
S1000156,T1000163,2026-09-02 18:01:53,1515.33,SETTLED,SB20260902PM
S1000157,T1000164,2026-09-02 18:26:39,151.93,SETTLED,SB20260902PM
S1000158,T1000165,2026-09-02 19:42:11,13955.62,FAILED,SB20260902PM
S1000159,T1000166,2026-09-02 11:37:22,9423.28,SETTLED,SB20260902AM
S1000160,T1000167,2026-09-02 18:58:15,5048.32,SETTLED,SB20260902PM
S1000161,T1000168,2026-09-02 20:03:21,2509.47,SETTLED,SB20260902PM
S1000162,T1000169,2026-09-02 21:26:48,57881.38,SETTLED,SB20260902PM
S1000163,T1000170,2026-09-02 11:34:14,3640.20,SETTLED,SB20260902AM
S1000164,T1000171,2026-09-02 12:28:20,1080.61,SETTLED,SB20260902PM
S1000165,T1000172,2026-09-02 20:48:16,5560.46,SETTLED,SB20260902PM
S1000166,T1000173,2026-09-02 08:56:22,2076.91,SETTLED,SB20260902AM
S1000167,T1000174,2026-09-02 18:11:57,228.09,SETTLED,SB20260902PM
S1000168,T1000176,2026-09-02 13:19:03,3424.47,SETTLED,SB20260902PM
S1000169,T1000176,2026-09-02 13:23:03,856.12,SETTLED,SB20260902PM
S1000170,T1000177,2026-09-02 12:21:07,64246.82,SETTLED,SB20260902PM
S1000171,T1000178,2026-09-02 12:27:20,14754.08,SETTLED,SB20260902PM
S1000172,T1000179,2026-09-02 17:31:44,362.93,SETTLED,SB20260902PM
S1000173,T1000179,2026-09-02 17:35:44,90.73,SETTLED,SB20260902PM
S1000174,T1000180,2026-09-02 10:35:28,46430.18,SETTLED,SB20260902AM
S1000175,T1000184,2026-09-02 15:38:34,4123.01,SETTLED,SB20260902PM
S1000176,T1000185,2026-09-02 10:38:20,3045.48,SETTLED,SB20260902AM
S1000177,T1000186,2026-09-02 08:53:56,4148.08,SETTLED,SB20260902AM
S1000178,T1000187,2026-09-02 11:13:55,3268.58,SETTLED,SB20260902AM
S1000179,T1000187,2026-09-02 11:17:55,817.14,SETTLED,SB20260902AM
S1000180,T1000188,2026-09-02 20:22:48,3924.68,SETTLED,SB20260902PM
S1000181,T1000189,2026-09-02 09:38:23,565.62,SETTLED,SB20260902AM
S1000182,T1000190,2026-09-02 13:50:27,3987.13,SETTLED,SB20260902PM
S1000183,T1000191,2026-09-02 17:41:31,18601.99,SETTLED,SB20260902PM
S1000184,T1000194,2026-09-02 12:42:19,78191.84,SETTLED,SB20260902PM
S1000185,T1000195,2026-09-02 11:55:05,12443.56,SETTLED,SB20260902AM
S1000186,T1000196,2026-09-02 18:53:25,338.14,SETTLED,SB20260902PM
S1000187,T1000197,2026-09-02 18:23:23,8537.14,SETTLED,SB20260902PM
S1000188,T1000198,2026-09-02 08:29:47,42771.86,SETTLED,SB20260902AM
S1000189,T1000199,2026-09-02 20:50:20,13900.99,SETTLED,SB20260902PM
S1000190,T1000200,2026-09-02 11:10:04,12009.27,SETTLED,SB20260902AM
S1000191,T1000200,2026-09-02 11:14:04,3002.32,SETTLED,SB20260902AM
S1000192,T1000201,2026-09-02 15:12:42,3743.98,SETTLED,SB20260902PM
S1000193,T1000201,2026-09-02 15:16:42,936.00,SETTLED,SB20260902PM
S1000194,T1000202,2026-09-02 18:43:04,14007.28,SETTLED,SB20260902PM
S1000195,T1000203,2026-09-02 11:15:20,1141.69,SETTLED,SB20260902AM
S1000196,T1000204,2026-09-02 21:58:20,2967.64,SETTLED,SB20260902PM
S1000197,T1000206,2026-09-02 15:10:03,798.41,SETTLED,SB20260902PM
S1000198,T1000207,2026-09-02 07:21:53,2339.00,SETTLED,SB20260902AM
S1000199,T1000208,2026-09-02 15:18:48,3336.78,SETTLED,SB20260902PM
S1000200,T1000209,2026-09-02 17:49:18,25775.77,SETTLED,SB20260902PM
S1000201,T1000210,2026-09-02 16:34:00,5979.94,SETTLED,SB20260902PM
S1000202,T1000212,2026-09-02 18:46:44,16069.99,SETTLED,SB20260902PM
S1000203,T1000213,2026-09-02 17:42:21,14632.45,SETTLED,SB20260902PM
S1000204,T1000214,2026-09-02 15:30:00,3721.69,SETTLED,SB20260902PM
S1000205,T1000215,2026-09-02 16:38:19,77487.24,SETTLED,SB20260902PM
S1000206,T1000216,2026-09-02 12:25:51,351.81,SETTLED,SB20260902PM
S1000207,T1000217,2026-09-02 08:43:00,186.45,SETTLED,SB20260902AM
S1000208,T1000219,2026-09-02 14:41:24,2189.60,SETTLED,SB20260902PM
S1000209,T1000219,2026-09-02 14:45:24,547.40,SETTLED,SB20260902PM
S1000210,T1000221,2026-09-02 19:08:58,2313.58,SETTLED,SB20260902PM
S1000211,T1000222,2026-09-02 19:05:06,2493.78,SETTLED,SB20260902PM
S1000212,T1000223,2026-09-02 11:00:30,865.92,SETTLED,SB20260902AM
S1000213,T1000224,2026-09-02 18:25:32,18333.69,SETTLED,SB20260902PM
S1000214,T1000225,2026-09-02 14:19:10,1788.09,SETTLED,SB20260902PM
S1000215,T1000226,2026-09-02 13:56:13,16303.18,SETTLED,SB20260902PM
S1000216,T1000227,2026-09-02 19:17:38,1986.26,SETTLED,SB20260902PM
S1000217,T1000229,2026-09-03 00:22:55,11463.76,SETTLED,SB20260903AM
S1000218,T1000230,2026-09-02 19:56:44,295.73,SETTLED,SB20260902PM
S1000219,T1000232,2026-09-02 13:29:30,9350.35,SETTLED,SB20260902PM
S1000220,T1000233,2026-09-02 11:18:14,2165.22,SETTLED,SB20260902AM
S1000221,T1000234,2026-09-02 21:40:40,44322.03,SETTLED,SB20260902PM
S1000222,T1000235,2026-09-02 21:38:26,1616.61,SETTLED,SB20260902PM
S1000223,T1000236,2026-09-02 08:25:34,137.54,SETTLED,SB20260902AM
S1000224,T1000236,2026-09-02 08:29:34,34.38,SETTLED,SB20260902AM
S1000225,T1000237,2026-09-02 09:13:11,784.36,SETTLED,SB20260902AM
S1000226,T1000238,2026-09-03 09:52:19,817.24,SETTLED,SB20260903AM
S1000227,T1000239,2026-09-03 19:05:14,1048.68,SETTLED,SB20260903PM
S1000228,T1000240,2026-09-03 22:39:47,38635.71,SETTLED,SB20260903PM
S1000229,T1000241,2026-09-03 23:26:31,1748.02,SETTLED,SB20260903PM
S1000230,T1000242,2026-09-03 13:50:45,33485.25,SETTLED,SB20260903PM
S1000231,T1000242,2026-09-03 13:54:45,8371.31,SETTLED,SB20260903PM
S1000232,T1000243,2026-09-03 15:19:07,2457.58,SETTLED,SB20260903PM
S1000233,T1000244,2026-09-03 13:57:38,15881.57,SETTLED,SB20260903PM
S1000234,T1000245,2026-09-03 15:56:00,3436.39,SETTLED,SB20260903PM
S1000235,T1000246,2026-09-03 16:41:54,4500.54,SETTLED,SB20260903PM
S1000236,T1000247,2026-09-03 21:31:52,1647.28,SETTLED,SB20260903PM
S1000237,T1000248,2026-09-03 21:47:41,3694.76,SETTLED,SB20260903PM
S1000238,T1000249,2026-09-03 22:32:42,3740.85,FAILED,SB20260903PM
S1000239,T1000250,2026-09-03 22:37:54,1088.91,SETTLED,SB20260903PM
S1000240,T1000251,2026-09-03 22:28:02,12638.65,PENDING,SB20260903PM
S1000241,T1000252,2026-09-03 20:18:30,3674.00,SETTLED,SB20260903PM
S1000242,T1000253,2026-09-03 11:14:51,223.81,SETTLED,SB20260903AM
S1000243,T1000254,2026-09-03 15:39:11,1428.47,SETTLED,SB20260903PM
S1000244,T1000255,2026-09-03 09:01:11,324.42,SETTLED,SB20260903AM
S1000245,T1000255,2026-09-03 09:05:11,81.11,SETTLED,SB20260903AM
S1000246,T1000256,2026-09-03 14:07:21,732.21,SETTLED,SB20260903PM
S1000247,T1000257,2026-09-03 21:32:11,10617.77,FAILED,SB20260903PM
S1000248,T1000258,2026-09-03 13:53:51,1894.65,SETTLED,SB20260903PM
S1000249,T1000260,2026-09-03 15:01:26,1581.61,SETTLED,SB20260903PM
S1000250,T1000261,2026-09-03 23:14:12,300.60,SETTLED,SB20260903PM
S1000251,T1000262,2026-09-03 18:23:04,1789.71,SETTLED,SB20260903PM
S1000252,T1000263,2026-09-03 13:10:52,1151.76,SETTLED,SB20260903PM
S1000253,T1000264,2026-09-03 21:17:48,1356.42,SETTLED,SB20260903PM
S1000254,T1000265,2026-09-03 14:51:44,2568.54,SETTLED,SB20260903PM
S1000255,T1000266,2026-09-03 20:53:15,1670.59,SETTLED,SB20260903PM
S1000256,T1000267,2026-09-03 06:38:02,3794.34,SETTLED,SB20260903AM
S1000257,T1000268,2026-09-03 15:56:29,1196.92,SETTLED,SB20260903PM
S1000258,T1000269,2026-09-03 17:25:15,4145.54,SETTLED,SB20260903PM
S1000259,T1000270,2026-09-03 17:35:41,4549.53,SETTLED,SB20260903PM
S1000260,T1000271,2026-09-03 18:49:26,74263.92,SETTLED,SB20260903PM
S1000261,T1000272,2026-09-03 12:35:58,6421.28,SETTLED,SB20260903PM
S1000262,T1000274,2026-09-03 16:08:35,1820.09,SETTLED,SB20260903PM
S1000263,T1000275,2026-09-03 13:51:29,21779.25,SETTLED,SB20260903PM
S1000264,T1000276,2026-09-03 17:52:41,1603.93,SETTLED,SB20260903PM
S1000265,T1000278,2026-09-03 12:45:11,1228.62,SETTLED,SB20260903PM
S1000266,T1000281,2026-09-03 11:02:42,11002.99,SETTLED,SB20260903AM
S1000267,T1000282,2026-09-03 14:03:42,1394.50,SETTLED,SB20260903PM
S1000268,T1000282,2026-09-03 14:07:42,348.62,SETTLED,SB20260903PM
S1000269,T1000283,2026-09-03 21:23:48,437.91,SETTLED,SB20260903PM
S1000270,T1000284,2026-09-03 20:04:00,88827.02,SETTLED,SB20260903PM
S1000271,T1000285,2026-09-03 22:15:47,623.48,PENDING,SB20260903PM
S1000272,T1000286,2026-09-03 07:57:05,275.47,SETTLED,SB20260903AM
S1000273,T1000287,2026-09-03 18:29:58,2996.20,SETTLED,SB20260903PM
S1000274,T1000287,2026-09-03 18:33:58,749.05,SETTLED,SB20260903PM
S1000275,T1000289,2026-09-03 14:12:59,3189.82,SETTLED,SB20260903PM
S1000276,T1000290,2026-09-03 16:20:27,2052.87,SETTLED,SB20260903PM
S1000277,T1000291,2026-09-03 21:38:29,2433.69,SETTLED,SB20260903PM
S1000278,T1000293,2026-09-03 15:35:47,5765.76,SETTLED,SB20260903PM
S1000279,T1000294,2026-09-03 09:44:02,11689.30,SETTLED,SB20260903AM
S1000280,T1000295,2026-09-03 23:08:55,1514.07,SETTLED,SB20260903PM
S1000281,T1000296,2026-09-03 18:01:19,456.61,SETTLED,SB20260903PM
S1000282,T1000298,2026-09-03 14:03:47,29792.83,SETTLED,SB20260903PM
S1000283,T1000299,2026-09-03 20:22:11,1830.24,SETTLED,SB20260903PM
S1000284,T1000300,2026-09-03 18:43:16,2041.24,SETTLED,SB20260903PM
S1000285,T1000301,2026-09-03 19:19:13,1706.50,SETTLED,SB20260903PM
S1000286,T1000302,2026-09-03 13:08:53,1967.48,SETTLED,SB20260903PM
S1000287,T1000303,2026-09-03 18:52:13,648.90,SETTLED,SB20260903PM
S1000288,T1000304,2026-09-03 08:10:11,1641.87,SETTLED,SB20260903AM
S1000289,T1000305,2026-09-03 11:38:08,5098.76,SETTLED,SB20260903AM
S1000290,T1000306,2026-09-03 12:19:33,17800.13,SETTLED,SB20260903PM
S1000291,T1000307,2026-09-03 18:14:14,5317.13,SETTLED,SB20260903PM
S1000292,T1000308,2026-09-03 15:02:37,2963.42,SETTLED,SB20260903PM
S1000293,T1000309,2026-09-03 21:01:45,1642.53,SETTLED,SB20260903PM
S1000294,T1000310,2026-09-03 10:07:53,1659.19,SETTLED,SB20260903AM
S1000295,T1000310,2026-09-03 10:11:53,414.80,SETTLED,SB20260903AM
S1000296,T1000311,2026-09-03 14:53:48,1793.35,SETTLED,SB20260903PM
S1000297,T1000311,2026-09-03 14:57:48,448.34,SETTLED,SB20260903PM
S1000298,T1000313,2026-09-03 14:44:37,431.23,SETTLED,SB20260903PM
S1000299,T1000314,2026-09-03 20:42:12,15809.18,SETTLED,SB20260903PM
S1000300,T1000315,2026-09-03 12:51:46,332.07,SETTLED,SB20260903PM
S1000301,T1000316,2026-09-03 13:21:13,10204.90,SETTLED,SB20260903PM
S1000302,T1000318,2026-09-03 19:20:28,4878.57,SETTLED,SB20260903PM
S1000303,T1000319,2026-09-03 18:15:52,77038.34,SETTLED,SB20260903PM
S1000304,T1000320,2026-09-03 14:21:46,30965.21,SETTLED,SB20260903PM
S1000305,T1000322,2026-09-03 22:43:06,2531.06,SETTLED,SB20260903PM
S1000306,T1000323,2026-09-03 12:55:03,3418.99,SETTLED,SB20260903PM
S1000307,T1000324,2026-09-03 19:02:08,4999.54,SETTLED,SB20260903PM
S1000308,T1000325,2026-09-03 08:59:47,1109.62,SETTLED,SB20260903AM
S1000309,T1000326,2026-09-03 23:11:10,1922.46,SETTLED,SB20260903PM
S1000310,T1000327,2026-09-03 14:48:37,2230.69,SETTLED,SB20260903PM
S1000311,T1000329,2026-09-03 11:30:00,31086.95,SETTLED,SB20260903AM
S1000312,T1000330,2026-09-03 12:06:47,5477.98,SETTLED,SB20260903PM
S1000313,T1000331,2026-09-03 09:17:41,10151.31,SETTLED,SB20260903AM
S1000314,T1000332,2026-09-03 18:29:25,79979.79,SETTLED,SB20260903PM
S1000315,T1000333,2026-09-03 19:50:46,7249.83,SETTLED,SB20260903PM
S1000316,T1000334,2026-09-03 10:12:29,6897.30,SETTLED,SB20260903AM
S1000317,T1000335,2026-09-03 19:25:12,5725.80,SETTLED,SB20260903PM
S1000318,T1000336,2026-09-03 14:44:54,1081.61,SETTLED,SB20260903PM
S1000319,T1000337,2026-09-03 20:01:03,27244.42,SETTLED,SB20260903PM
S1000320,T1000338,2026-09-03 20:24:13,43807.30,SETTLED,SB20260903PM
S1000321,T1000339,2026-09-03 11:09:38,8450.67,SETTLED,SB20260903AM
S1000322,T1000340,2026-09-03 20:24:21,2823.75,SETTLED,SB20260903PM
S1000323,T1000341,2026-09-03 13:04:05,14361.40,SETTLED,SB20260903PM
S1000324,T1000341,2026-09-03 13:08:05,3590.35,SETTLED,SB20260903PM
S1000325,T1000343,2026-09-03 08:29:21,23346.37,SETTLED,SB20260903AM
S1000326,T1000344,2026-09-03 22:02:51,1261.25,SETTLED,SB20260903PM
S1000327,T1000345,2026-09-03 17:55:44,44169.41,SETTLED,SB20260903PM
S1000328,T1000346,2026-09-03 15:45:59,13693.11,SETTLED,SB20260903PM
S1000329,T1000347,2026-09-03 14:23:55,1325.46,SETTLED,SB20260903PM
S1000330,T1000348,2026-09-03 18:58:25,782.74,SETTLED,SB20260903PM
S1000331,T1000349,2026-09-03 09:01:29,3456.35,SETTLED,SB20260903AM
S1000332,T1000350,2026-09-03 11:06:19,2176.93,SETTLED,SB20260903AM
S1000333,T1000353,2026-09-04 18:02:11,28739.01,SETTLED,SB20260904PM
