transaction_id,merchant_id,customer_id,transaction_ts,amount,currency,status,payment_channel
T1000022,M110,C00783,2026-09-01 16:50:25,48274.31,INR,SUCCESS,POS
T1000023,M112,C00530,2026-09-01 19:04:36,66240.29,INR,SUCCESS,ONLINE
T1000024,M110,C00438,2026-09-01 14:25:50,35064.29,INR,SUCCESS,POS
T1000025,M113,C02908,2026-09-01 14:50:43,2031.86,INR,SUCCESS,ONLINE
T1000026,M115,C01239,2026-09-01 07:10:22,3622.73,INR,SUCCESS,ONLINE
T1000027,M107,C01062,2026-09-01 19:08:31,9862.55,INR,SUCCESS,QR
T1000028,M120,C01245,2026-09-01 10:13:46,361.96,INR,SUCCESS,ONLINE
T1000029,M116,C02703,2026-09-01 20:15:18,4264.31,INR,SUCCESS,ONLINE
T1000030,M121,C02431,2026-09-01 17:50:23,72937.61,INR,SUCCESS,ONLINE
T1000031,M109,C00751,2026-09-01 11:32:33,39074.63,INR,SUCCESS,POS
T1000032,M117,C01448,2026-09-01 20:17:40,7277.36,INR,FAILED,ONLINE
T1000033,M104,C00436,2026-09-01 07:37:21,1663.50,INR,SUCCESS,ONLINE
T1000034,M105,C00010,2026-09-01 08:18:44,2669.12,INR,SUCCESS,POS
T1000035,M108,C01794,2026-09-01 12:27:09,17646.09,INR,SUCCESS,ONLINE
T1000036,M115,C02938,2026-09-01 12:59:49,5582.18,INR,SUCCESS,QR
T1000037,M101,C02553,2026-09-01 21:52:27,79375.68,INR,SUCCESS,ONLINE
T1000038,M104,C00091,2026-09-01 20:22:17,4184.46,INR,REVERSED,POS
T1000039,M101,C01929,2026-09-01 15:27:12,4906.29,INR,SUCCESS,QR
T1000040,M115,C01896,2026-09-01 19:33:49,4336.32,INR,REVERSED,ONLINE
T1000041,M115,C01520,2026-09-01 20:09:25,4210.19,INR,SUCCESS,POS
T1000042,M105,C00900,2026-09-01 18:47:36,2998.59,INR,SUCCESS,POS
T1000043,M110,C01577,2026-09-01 10:45:06,32784.93,INR,SUCCESS,QR
T1000044,M112,C01025,2026-09-01 12:45:13,88259.88,INR,FAILED,POS
T1000045,M112,C01362,2026-09-01 19:33:15,54581.40,INR,SUCCESS,QR
T1000046,M100,C00332,2026-09-01 19:35:49,3890.32,INR,SUCCESS,ONLINE
T1000047,M120,C01831,2026-09-01 11:14:13,1318.02,INR,SUCCESS,QR
T1000048,M101,C01523,2026-09-01 11:41:10,17829.02,INR,SUCCESS,POS
T1000049,M100,C01054,2026-09-01 10:09:56,2983.37,INR,SUCCESS,ONLINE
T1000050,M115,C02584,2026-09-01 20:44:08,4722.86,INR,SUCCESS,POS
T1000051,M113,C02981,2026-09-01 21:59:47,2770.42,INR,SUCCESS,ONLINE
T1000052,M117,C00527,2026-09-01 12:33:19,15959.70,INR,FAILED,POS
T1000053,M102,C02255,2026-09-01 07:13:05,617.24,INR,SUCCESS,QR
T1000054,M116,C02520,2026-09-01 20:07:02,4634.26,INR,SUCCESS,ONLINE
T1000055,M117,C01231,2026-09-01 12:18:54,2933.01,INR,SUCCESS,ONLINE
T1000056,M101,C02409,2026-09-01 08:31:17,80741.90,INR,SUCCESS,ONLINE
T1000057,M104,C02382,2026-09-01 10:58:07,2428.41,INR,SUCCESS,POS
T1000058,M105,C00048,2026-09-01 18:57:46,3626.55,INR,SUCCESS,QR
T1000059,M109,C01321,2026-09-01 20:17:27,20684.12,INR,SUCCESS,ONLINE
T1000060,M115,C00842,2026-09-01 19:26:30,1337.82,INR,SUCCESS,POS
T1000061,M104,C00276,2026-09-01 16:57:28,5971.30,INR,SUCCESS,POS
T1000062,M101,C02584,2026-09-01 10:00:16,19299.85,INR,SUCCESS,POS
T1000063,M101,C01625,2026-09-01 19:04:39,31277.36,INR,SUCCESS,ONLINE
T1000064,M117,C02443,2026-09-01 18:47:09,15695.29,INR,SUCCESS,POS
T1000065,M113,C00355,2026-09-01 09:43:59,1874.43,INR,SUCCESS,ONLINE
T1000066,M100,C00474,2026-09-01 17:32:42,1435.82,INR,SUCCESS,POS
T1000067,M102,C01384,2026-09-01 12:36:48,242.49,INR,SUCCESS,QR
T1000068,M113,C01748,2026-09-01 12:05:26,2863.69,INR,SUCCESS,POS
T1000069,M109,C01590,2026-09-01 18:09:59,18772.71,INR,SUCCESS,POS
T1000070,M105,C02317,2026-09-01 12:28:26,4605.11,INR,SUCCESS,QR
T1000071,M100,C01359,2026-09-01 17:05:42,112.44,INR,SUCCESS,ONLINE
T1000072,M106,C01909,2026-09-01 19:01:21,2717.84,INR,SUCCESS,ONLINE
T1000073,M111,C02984,2026-09-01 19:56:33,2140.79,INR,SUCCESS,QR
T1000074,M100,C01498,2026-09-01 09:24:02,2859.86,INR,FAILED,ONLINE
T1000075,M108,C01834,2026-09-01 09:37:32,10398.49,INR,SUCCESS,ONLINE
T1000076,M111,C00996,2026-09-01 21:08:57,3034.92,INR,SUCCESS,POS
T1000077,M114,C01332,2026-09-01 11:49:58,7616.04,INR,SUCCESS,QR
T1000078,M101,C02384,2026-09-01 18:37:41,13380.53,INR,SUCCESS,QR
T1000079,M119,C01359,2026-09-01 18:26:56,67460.94,INR,SUCCESS,POS
T1000080,M112,C01638,2026-09-01 07:59:29,73422.94,INR,SUCCESS,POS
T1000081,M100,C01814,2026-09-01 13:43:53,3310.93,INR,SUCCESS,POS
T1000082,M121,C02653,2026-09-01 20:08:54,46799.71,INR,SUCCESS,QR
T1000083,M103,C02651,2026-09-01 19:27:03,5805.82,INR,SUCCESS,POS
T1000084,M104,C02621,2026-09-01 13:48:02,2957.50,INR,SUCCESS,ONLINE
T1000085,M100,C01636,2026-09-01 11:22:33,1940.79,INR,SUCCESS,ONLINE
T1000086,M101,C00584,2026-09-01 08:41:23,22661.70,INR,SUCCESS,POS
T1000087,M102,C02931,2026-09-01 20:26:12,2797.02,INR,SUCCESS,POS
T1000088,M116,C02433,2026-09-01 12:46:37,1370.95,INR,FAILED,POS
T1000089,M107,C01003,2026-09-01 16:23:18,5469.23,INR,SUCCESS,ONLINE
T1000090,M111,C00992,2026-09-01 12:52:36,3012.36,INR,FAILED,QR
T1000091,M109,C01275,2026-09-01 12:27:12,12822.51,INR,SUCCESS,POS
T1000092,M117,C02174,2026-09-01 12:13:05,16945.75,INR,SUCCESS,ONLINE
T1000093,M113,C01230,2026-09-01 07:00:27,2290.05,INR,SUCCESS,QR
T1000094,M123,C02348,2026-09-01 13:29:17,2317.51,INR,SUCCESS,ONLINE
T1000095,M100,C01908,2026-09-01 14:08:30,588.32,INR,SUCCESS,POS
T1000096,M108,C02071,2026-09-01 19:03:11,16773.63,INR,SUCCESS,ONLINE
T1000097,M105,C02346,2026-09-01 15:26:28,1475.10,INR,SUCCESS,ONLINE
T1000098,M112,C02503,2026-09-01 17:25:39,74515.10,INR,SUCCESS,POS
T1000099,M115,C02156,2026-09-01 19:43:24,4425.60,INR,FAILED,QR
T1000100,M108,C00396,2026-09-01 19:02:10,6918.22,INR,SUCCESS,QR
T1000101,M124,C02219,2026-09-01 08:35:36,9576.84,INR,SUCCESS,ONLINE
T1000102,M100,C00263,2026-09-01 19:49:20,2262.94,INR,SUCCESS,QR
T1000103,M108,C02579,2026-09-01 20:17:31,2365.01,INR,REVERSED,POS
T1000104,M109,C02240,2026-09-01 19:54:32,39759.82,INR,SUCCESS,POS
T1000105,M111,C01946,2026-09-01 15:49:17,731.82,INR,SUCCESS,ONLINE
T1000106,M113,C02848,2026-09-01 19:59:31,1047.74,INR,SUCCESS,ONLINE
T1000107,M113,C01732,2026-09-01 11:00:16,1921.27,INR,SUCCESS,POS
T1000108,M103,C01198,2026-09-01 20:29:52,1058.05,INR,SUCCESS,QR
T1000109,M117,C01431,2026-09-01 08:04:00,9923.68,INR,SUCCESS,POS
T1000110,M100,C02814,2026-09-01 11:09:22,2801.94,INR,SUCCESS,QR
T1000111,M104,C02015,2026-09-01 15:37:03,3159.18,INR,SUCCESS,POS
T1000112,M104,C02099,2026-09-01 19:27:49,5129.56,INR,SUCCESS,ONLINE
T1000113,M102,C01300,2026-09-01 11:36:54,889.54,INR,SUCCESS,POS
T1000114,M113,C00423,2026-09-01 14:44:38,686.71,INR,FAILED,QR
T1000115,M122,C02375,2026-09-01 13:05:45,2098.02,INR,FAILED,POS
T1000116,M112,C02042,2026-09-01 18:51:18,3289.60,INR,REVERSED,POS
T1000117,M122,C02501,2026-09-01 11:26:50,1643.33,INR,SUCCESS,QR
T1000118,M113,C02281,2026-09-01 19:24:53,265.88,INR,SUCCESS,QR
T1000119,M100,C01886,2026-09-01 12:14:38,556.19,INR,SUCCESS,QR
T1000120,M102,C00439,2026-09-01 10:37:22,975.99,INR,SUCCESS,QR
T1000121,M108,C01090,2026-09-01 21:55:23,4049.95,INR,SUCCESS,QR
T1000122,M100,C02787,2026-09-01 13:01:01,2993.52,INR,SUCCESS,QR
T1000123,M117,C01559,2026-09-01 18:58:44,12775.03,INR,SUCCESS,QR
T1000124,M114,C00804,2026-09-01 11:11:41,617.04,INR,SUCCESS,ONLINE
T1000125,M100,C02203,2026-09-01 07:55:15,1448.41,INR,SUCCESS,QR
T1000126,M102,C00567,2026-09-01 12:15:41,670.97,INR,SUCCESS,POS
T1000127,M116,C01622,2026-09-01 08:19:22,552.38,INR,SUCCESS,QR
T1000128,M105,C01591,2026-09-02 20:39:32,1920.79,INR,SUCCESS,POS
T1000129,M104,C00463,2026-09-02 10:49:49,1094.68,INR,SUCCESS,QR
T1000130,M103,C00293,2026-09-02 13:47:11,10706.89,INR,SUCCESS,QR
T1000131,M111,C02033,2026-09-02 07:10:05,1151.46,INR,SUCCESS,POS
T1000132,M113,C02556,2026-09-02 19:27:49,543.89,INR,SUCCESS,ONLINE
T1000133,M121,C00106,2026-09-02 06:28:17,10129.37,INR,SUCCESS,ONLINE
T1000134,M106,C01150,2026-09-02 14:03:57,1892.15,INR,SUCCESS,POS
T1000135,M117,C01571,2026-09-02 12:09:12,7267.21,INR,SUCCESS,QR
T1000136,M115,C00456,2026-09-02 19:55:38,2331.00,INR,SUCCESS,ONLINE
T1000137,M114,C02427,2026-09-02 16:11:17,2896.62,INR,REVERSED,POS
T1000138,M117,C00227,2026-09-02 14:19:08,16990.22,INR,SUCCESS,ONLINE
T1000139,M115,C00461,2026-09-02 12:16:21,5052.99,INR,SUCCESS,ONLINE
T1000140,M118,C02741,2026-09-02 08:14:57,55767.87,INR,SUCCESS,ONLINE
T1000141,M111,C02996,2026-09-02 17:35:30,2950.64,INR,SUCCESS,QR
T1000142,M117,C01309,2026-09-02 10:33:05,16087.44,INR,SUCCESS,POS
T1000143,M115,C00838,2026-09-02 13:09:50,4453.01,INR,SUCCESS,POS
T1000144,M111,C02146,2026-09-02 17:59:28,1562.28,INR,SUCCESS,ONLINE
T1000145,M111,C02767,2026-09-02 18:48:18,1972.94,INR,SUCCESS,ONLINE
T1000146,M100,C00645,2026-09-02 09:19:27,1162.73,INR,SUCCESS,ONLINE
T1000147,M124,C02418,2026-09-02 12:58:18,3385.21,INR,FAILED,POS
T1000148,M100,C02101,2026-09-02 11:05:42,2719.31,INR,SUCCESS,ONLINE
T1000149,M100,C01151,2026-09-02 15:50:48,714.21,INR,SUCCESS,QR
T1000150,M104,C01217,2026-09-02 06:27:30,2599.73,INR,SUCCESS,ONLINE
T1000151,M111,C00324,2026-09-02 20:25:41,1400.24,INR,SUCCESS,POS
T1000152,M118,C02907,2026-09-02 11:27:25,47348.09,INR,SUCCESS,ONLINE
T1000153,M101,C02641,2026-09-02 13:41:33,45090.48,INR,SUCCESS,QR
T1000154,M108,C01604,2026-09-02 22:27:31,15826.64,INR,SUCCESS,ONLINE
T1000155,M106,C02835,2026-09-02 12:57:14,651.75,INR,SUCCESS,POS
T1000156,M124,C02708,2026-09-02 12:59:46,3815.91,INR,SUCCESS,POS
T1000157,M101,C02588,2026-09-02 08:33:45,22881.91,INR,SUCCESS,POS
T1000158,M118,C02880,2026-09-02 20:00:49,44337.79,INR,SUCCESS,ONLINE
T1000159,M116,C01123,2026-09-02 09:46:05,2402.93,INR,SUCCESS,POS
T1000160,M101,C02624,2026-09-02 18:03:28,32615.05,INR,SUCCESS,POS
T1000161,M113,C00898,2026-09-02 20:05:29,213.49,INR,SUCCESS,ONLINE
T1000162,M111,C02905,2026-09-02 12:12:26,1598.25,INR,SUCCESS,POS
T1000163,M114,C02371,2026-09-02 17:42:53,1515.33,INR,SUCCESS,ONLINE
T1000164,M105,C02715,2026-09-02 18:14:39,151.93,INR,SUCCESS,POS
T1000165,M108,C01107,2026-09-02 16:50:11,13955.62,INR,SUCCESS,QR
T1000166,M117,C00088,2026-09-02 11:31:22,15705.47,INR,SUCCESS,POS
T1000167,M115,C00958,2026-09-02 18:38:15,5048.32,INR,SUCCESS,QR
T1000168,M102,C00549,2026-09-02 19:47:21,2509.47,INR,SUCCESS,POS
T1000169,M119,C00005,2026-09-02 21:10:48,57881.38,INR,SUCCESS,QR
T1000170,M120,C00612,2026-09-02 11:13:14,3640.20,INR,SUCCESS,QR
T1000171,M124,C00109,2026-09-02 12:15:20,1080.61,INR,SUCCESS,POS
T1000172,M107,C00892,2026-09-02 20:45:16,5560.46,INR,SUCCESS,QR
T1000173,M122,C01441,2026-09-02 08:42:22,2076.91,INR,SUCCESS,POS
T1000174,M100,C01839,2026-09-02 17:49:57,228.09,INR,SUCCESS,QR
T1000175,M117,C01162,2026-09-02 17:23:34,2502.40,INR,SUCCESS,QR
T1000176,M116,C00759,2026-09-02 13:09:03,4280.59,INR,SUCCESS,POS
T1000177,M112,C00365,2026-09-02 12:14:07,64246.82,INR,SUCCESS,QR
T1000178,M108,C01786,2026-09-02 12:04:20,14754.08,INR,SUCCESS,POS
T1000179,M104,C02519,2026-09-02 16:50:44,453.66,INR,SUCCESS,POS
T1000180,M118,C02737,2026-09-02 10:23:28,46430.18,INR,SUCCESS,ONLINE
T1000181,M111,C00715,2026-09-02 13:07:13,3324.77,INR,SUCCESS,POS
T1000182,M113,C00399,2026-09-02 15:00:04,2029.13,INR,FAILED,POS
T1000183,M117,C01283,2026-09-02 10:14:41,19162.24,INR,SUCCESS,ONLINE
T1000184,M108,C01335,2026-09-02 14:34:34,4123.01,INR,SUCCESS,ONLINE
T1000185,M104,C01145,2026-09-02 10:33:20,3045.48,INR,SUCCESS,QR
T1000186,M107,C00771,2026-09-02 08:28:56,4148.08,INR,SUCCESS,ONLINE
T1000187,M104,C01351,2026-09-02 11:04:55,4085.72,INR,SUCCESS,POS
T1000188,M116,C01005,2026-09-02 20:14:48,3924.68,INR,SUCCESS,ONLINE
T1000189,M116,C02366,2026-09-02 09:27:23,565.62,INR,SUCCESS,POS
T1000190,M111,C00568,2026-09-02 13:44:27,3987.13,INR,SUCCESS,ONLINE
T1000191,M109,C02756,2026-09-02 17:19:31,18601.99,INR,SUCCESS,POS
T1000192,M108,C00014,2026-09-02 22:37:07,7077.25,INR,REVERSED,QR
T1000193,M102,C01453,2026-09-02 13:29:00,938.54,INR,REVERSED,POS
T1000194,M121,C01330,2026-09-02 10:50:19,78191.84,INR,SUCCESS,QR
T1000195,M103,C02959,2026-09-02 11:46:05,12443.56,INR,SUCCESS,POS
T1000196,M117,C02435,2026-09-02 18:31:25,338.14,INR,SUCCESS,POS
T1000197,M112,C00101,2026-09-02 18:10:23,8537.14,INR,SUCCESS,POS
T1000198,M101,C01103,2026-09-02 08:09:47,42771.86,INR,SUCCESS,POS
T1000199,M103,C01805,2026-09-02 20:32:20,13900.99,INR,SUCCESS,POS
T1000200,M117,C01576,2026-09-02 10:57:04,15011.59,INR,SUCCESS,POS
T1000201,M115,C01068,2026-09-02 14:58:42,4679.98,INR,SUCCESS,QR
T1000202,M117,C01571,2026-09-02 18:26:04,14007.28,INR,SUCCESS,POS
T1000203,M111,C00634,2026-09-02 11:10:20,1141.69,INR,SUCCESS,QR
T1000204,M122,C02255,2026-09-02 21:53:20,2967.64,INR,SUCCESS,ONLINE
T1000205,M114,C00894,2026-09-02 13:31:16,9464.06,INR,REVERSED,ONLINE
T1000206,M100,C02694,2026-09-02 14:50:03,798.41,INR,SUCCESS,QR
T1000207,M114,C01716,2026-09-02 06:58:53,2339.00,INR,SUCCESS,POS
T1000208,M100,C00155,2026-09-02 14:56:48,3336.78,INR,SUCCESS,POS
T1000209,M109,C02780,2026-09-02 17:29:18,25775.77,INR,SUCCESS,ONLINE
T1000210,M115,C01777,2026-09-02 16:19:00,5979.94,INR,SUCCESS,QR
T1000211,M108,C01739,2026-09-02 19:14:55,15878.17,INR,REVERSED,QR
T1000212,M109,C00381,2026-09-02 18:29:44,16069.99,INR,SUCCESS,ONLINE
T1000213,M108,C00959,2026-09-02 17:18:21,14632.45,INR,SUCCESS,ONLINE
T1000214,M100,C01047,2026-09-02 15:17:00,3721.69,INR,SUCCESS,QR
T1000215,M112,C01429,2026-09-02 16:30:19,77487.24,INR,SUCCESS,QR
T1000216,M113,C00866,2026-09-02 12:14:51,351.81,INR,SUCCESS,POS
T1000217,M102,C01753,2026-09-02 08:33:00,186.45,INR,SUCCESS,ONLINE
T1000218,M117,C01009,2026-09-02 13:22:23,10878.78,INR,FAILED,ONLINE
T1000219,M100,C00810,2026-09-02 14:33:24,2737.00,INR,SUCCESS,ONLINE
T1000220,M124,C01579,2026-09-02 13:16:54,8389.33,INR,SUCCESS,QR
T1000221,M116,C01319,2026-09-02 18:50:58,2313.58,INR,SUCCESS,POS
T1000222,M104,C01255,2026-09-02 16:20:06,2493.78,INR,SUCCESS,POS
T1000223,M102,C02292,2026-09-02 10:54:30,865.92,INR,SUCCESS,POS
T1000224,M112,C01976,2026-09-02 18:04:32,18333.69,INR,SUCCESS,QR
T1000225,M104,C01079,2026-09-02 12:09:10,1788.09,INR,SUCCESS,POS
T1000226,M118,C00668,2026-09-02 13:32:13,16303.18,INR,SUCCESS,ONLINE
T1000227,M113,C00500,2026-09-02 19:03:38,1986.26,INR,SUCCESS,POS
T1000228,M113,C01632,2026-09-02 09:31:56,948.79,INR,FAILED,QR
T1000229,M114,C00094,2026-09-02 23:59:55,11463.76,INR,SUCCESS,POS
T1000230,M100,C02561,2026-09-02 19:40:44,295.73,INR,SUCCESS,QR
T1000231,M104,C01876,2026-09-02 06:42:24,4281.86,INR,SUCCESS,QR
T1000232,M117,C00037,2026-09-02 12:35:30,9350.35,INR,SUCCESS,ONLINE
T1000233,M116,C01902,2026-09-02 11:15:14,2165.22,INR,SUCCESS,QR
T1000234,M110,C01994,2026-09-02 19:31:40,44322.03,INR,SUCCESS,POS
T1000235,M102,C02602,2026-09-02 21:14:26,2694.35,INR,SUCCESS,POS
T1000236,M113,C00469,2026-09-02 08:14:34,171.92,INR,SUCCESS,QR
T1000237,M113,C02292,2026-09-02 09:04:11,784.36,INR,SUCCESS,QR
T1000238,M115,C00798,2026-09-03 09:38:19,817.24,INR,SUCCESS,POS
T1000239,M122,C00170,2026-09-03 18:50:14,1048.68,INR,SUCCESS,POS
T1000240,M101,C02743,2026-09-03 22:23:47,38635.71,INR,SUCCESS,QR
T1000241,M106,C02550,2026-09-03 23:05:31,1748.02,INR,SUCCESS,ONLINE
T1000242,M118,C01514,2026-09-03 13:37:45,41856.56,INR,SUCCESS,QR
T1000243,M120,C01540,2026-09-03 15:14:07,2457.58,INR,SUCCESS,ONLINE
T1000244,M117,C02648,2026-09-03 13:43:38,15881.57,INR,SUCCESS,POS
T1000245,M116,C01998,2026-09-03 15:44:00,3436.39,INR,SUCCESS,POS
T1000246,M105,C02783,2026-09-03 16:30:54,4500.54,INR,SUCCESS,ONLINE
T1000247,M105,C01736,2026-09-03 21:17:52,1647.28,INR,SUCCESS,POS
T1000248,M105,C01746,2026-09-03 21:34:41,3694.76,INR,SUCCESS,POS
T1000249,M104,C00930,2026-09-03 20:52:42,3740.85,INR,SUCCESS,QR
T1000250,M120,C00712,2026-09-03 22:17:54,1088.91,INR,SUCCESS,ONLINE
T1000251,M108,C01727,2026-09-03 22:17:02,12638.65,INR,SUCCESS,QR
T1000252,M100,C01148,2026-09-03 19:57:30,3674.00,INR,SUCCESS,QR
T1000253,M122,C02128,2026-09-03 11:11:51,223.81,INR,SUCCESS,QR
T1000254,M111,C00511,2026-09-03 15:33:11,1428.47,INR,SUCCESS,POS
T1000255,M102,C00221,2026-09-03 08:38:11,405.53,INR,SUCCESS,ONLINE
T1000256,M116,C00985,2026-09-03 13:42:21,732.21,INR,SUCCESS,QR
T1000257,M108,C00710,2026-09-03 19:20:11,10617.77,INR,SUCCESS,ONLINE
T1000258,M104,C01601,2026-09-03 13:43:51,1894.65,INR,SUCCESS,QR
T1000259,M119,C00331,2026-09-03 12:32:12,32878.13,INR,FAILED,POS
T1000260,M122,C00828,2026-09-03 14:58:26,1581.61,INR,SUCCESS,ONLINE
T1000261,M111,C02145,2026-09-03 22:49:12,300.60,INR,SUCCESS,ONLINE
T1000262,M111,C01351,2026-09-03 17:59:04,1789.71,INR,SUCCESS,POS
T1000263,M104,C02660,2026-09-03 13:00:52,1151.76,INR,SUCCESS,QR
T1000264,M115,C01335,2026-09-03 21:08:48,1356.42,INR,SUCCESS,POS
T1000265,M105,C02940,2026-09-03 14:28:44,2568.54,INR,SUCCESS,POS
T1000266,M106,C00066,2026-09-03 20:49:15,1670.59,INR,SUCCESS,POS
T1000267,M100,C00213,2026-09-03 06:21:02,3794.34,INR,SUCCESS,POS
T1000268,M105,C00375,2026-09-03 15:46:29,1994.86,INR,SUCCESS,POS
T1000269,M101,C01278,2026-09-03 17:12:15,4145.54,INR,SUCCESS,ONLINE
T1000270,M116,C02948,2026-09-03 17:24:41,4549.53,INR,SUCCESS,POS
T1000271,M119,C00391,2026-09-03 18:28:26,74263.92,INR,SUCCESS,POS
T1000272,M117,C01278,2026-09-03 11:05:58,6421.28,INR,SUCCESS,ONLINE
T1000273,M113,C02037,2026-09-03 14:54:16,1661.78,INR,REVERSED,POS
T1000274,M113,C01434,2026-09-03 15:49:35,1820.09,INR,SUCCESS,POS
T1000275,M121,C02125,2026-09-03 13:13:29,21779.25,INR,SUCCESS,ONLINE
T1000276,M120,C01013,2026-09-03 17:27:41,1603.93,INR,SUCCESS,POS
T1000277,M119,C02741,2026-09-03 19:09:09,15620.30,INR,FAILED,ONLINE
T1000278,M104,C02290,2026-09-03 12:30:11,1228.62,INR,SUCCESS,POS
T1000279,M103,C01167,2026-09-03 07:34:00,4155.16,INR,FAILED,ONLINE
T1000280,M113,C01858,2026-09-03 08:59:27,192.26,INR,REVERSED,POS
T1000281,M118,C01694,2026-09-03 10:46:42,11002.99,INR,SUCCESS,QR
T1000282,M111,C02072,2026-09-03 13:56:42,1743.12,INR,SUCCESS,POS
T1000283,M105,C00928,2026-09-03 21:07:48,437.91,INR,SUCCESS,POS
T1000284,M112,C01742,2026-09-03 19:58:00,88827.02,INR,SUCCESS,ONLINE
T1000285,M122,C02392,2026-09-03 21:50:47,623.48,INR,SUCCESS,POS
T1000286,M122,C00744,2026-09-03 07:40:05,275.47,INR,SUCCESS,QR
T1000287,M111,C02758,2026-09-03 18:26:58,3745.25,INR,SUCCESS,ONLINE
T1000288,M111,C02047,2026-09-03 17:33:18,1589.24,INR,FAILED,QR
T1000289,M116,C00595,2026-09-03 14:08:59,3189.82,INR,SUCCESS,ONLINE
T1000290,M117,C00130,2026-09-03 15:32:27,2052.87,INR,SUCCESS,QR
T1000291,M121,C00717,2026-09-03 20:32:29,2433.69,INR,SUCCESS,POS
T1000292,M100,C02001,2026-09-03 12:30:45,2152.63,INR,FAILED,ONLINE
T1000293,M104,C00620,2026-09-03 14:21:47,5765.76,INR,SUCCESS,QR
T1000294,M103,C01051,2026-09-03 09:27:02,11689.30,INR,SUCCESS,ONLINE
T1000295,M104,C02107,2026-09-03 22:44:55,1514.07,INR,SUCCESS,POS
T1000296,M105,C01356,2026-09-03 17:41:19,456.61,INR,SUCCESS,QR
T1000297,M108,C01698,2026-09-03 21:23:06,16044.87,INR,REVERSED,ONLINE
T1000298,M119,C02921,2026-09-03 13:54:47,29792.83,INR,SUCCESS,POS
T1000299,M100,C02627,2026-09-03 19:58:11,3050.40,INR,SUCCESS,ONLINE
T1000300,M100,C01244,2026-09-03 18:20:16,2041.24,INR,SUCCESS,ONLINE
T1000301,M106,C01185,2026-09-03 19:09:13,1706.50,INR,SUCCESS,POS
T1000302,M106,C00304,2026-09-03 12:50:53,1967.48,INR,SUCCESS,ONLINE
T1000303,M100,C00804,2026-09-03 18:28:13,648.90,INR,SUCCESS,POS
T1000304,M122,C02348,2026-09-03 08:01:11,1641.87,INR,SUCCESS,ONLINE
T1000305,M107,C00626,2026-09-03 11:17:08,5098.76,INR,SUCCESS,POS
T1000306,M117,C00571,2026-09-03 11:56:33,17800.13,INR,SUCCESS,POS
T1000307,M109,C00028,2026-09-03 17:54:14,5317.13,INR,SUCCESS,POS
T1000308,M104,C00509,2026-09-03 13:52:37,2963.42,INR,SUCCESS,QR
T1000309,M113,C00986,2026-09-03 20:39:45,1642.53,INR,SUCCESS,QR
T1000310,M114,C00506,2026-09-03 09:55:53,2073.99,INR,SUCCESS,QR
T1000311,M122,C01007,2026-09-03 14:31:48,2241.69,INR,SUCCESS,POS
T1000312,M102,C02118,2026-09-03 07:54:40,288.71,INR,FAILED,ONLINE
T1000313,M102,C02358,2026-09-03 14:32:37,431.23,INR,SUCCESS,POS
T1000314,M112,C02169,2026-09-03 20:38:12,15809.18,INR,SUCCESS,QR
T1000315,M102,C02347,2026-09-03 12:39:46,332.07,INR,SUCCESS,QR
T1000316,M108,C02720,2026-09-03 13:05:13,10204.90,INR,SUCCESS,QR
T1000317,M108,C00219,2026-09-03 21:34:44,9017.24,INR,REVERSED,POS
T1000318,M104,C02350,2026-09-03 17:47:28,4878.57,INR,SUCCESS,ONLINE
T1000319,M101,C01740,2026-09-03 17:51:52,77038.34,INR,SUCCESS,POS
